constructor!
num_car:1237 car_capacity:600 num_node(depot + customer):14666
Num_depot: 65
destructor!
constructor!
num_car:1237 car_capacity:600 num_node(depot + customer):14666
Num_depot: -1
constructor!!

time step: 0
vehicle00 tour: 0 10 32 348 188 160 457 354 8 43 30 0  1073.6km, visited customer:10, now_time:1352, average fill:100.0, now_load:200/200
vehicle01 tour: 0 47 9 220 89 380 308 68 58 339 8 311 0  1075.8km, visited customer:11, now_time:1351, average fill:200.0, now_load:200/200
vehicle02 tour: 0 46 329 36 40 18 463 433 96 26 275 131 0  1458.3km, visited customer:11, now_time:1350, average fill:280.0, now_load:160/200
vehicle03 tour: 0 71 36 41 483 453 338 267 181 29 19 190 141 0  1532.4km, visited customer:12, now_time:1356, average fill:380.0, now_load:200/200
vehicle04 tour: 0 2 29 35 178 108 427 384 32 438 164 490 0  1607.2km, visited customer:11, now_time:1355, average fill:480.0, now_load:200/200
vehicle05 tour: 0 2 33 11 175 103 6 41 422 4 120 467 373 0  1246.2km, visited customer:12, now_time:1350, average fill:540.0, now_load:120/200
vehicle06 tour: 0 13 349 224 485 262 364 439 49 10 475 0  1096.2km, visited customer:10, now_time:1364, average fill:640.0, now_load:200/200
vehicle07 tour: 0 44 421 320 5 318 346 83 85 444 5 341 0  1304.9km, visited customer:11, now_time:1356, average fill:740.0, now_load:200/200
vehicle08 tour: 0 21 416 24 260 94 146 492 442 391 16 16 0  1006.7km, visited customer:11, now_time:1355, average fill:840.0, now_load:200/200
vehicle09 tour: 0 27 276 245 45 153 56 159 26 216 12 42 0  875.3km, visited customer:11, now_time:1361, average fill:940.0, now_load:200/200
vehicle10 tour: 0 43 135 395 31 166 64 59 117 38 1 0  1199.4km, visited customer:10, now_time:1345, average fill:1040.0, now_load:200/200
vehicle11 tour: 0 28 17 390 369 202 77 51 401 111 167 352 0  1089.2km, visited customer:11, now_time:1362, average fill:1135.0, now_load:190/200
vehicle12 tour: 0 7 165 293 71 472 191 491 459 23 48 0  1263.2km, visited customer:10, now_time:1350, average fill:1235.0, now_load:200/200
vehicle13 tour: 0 0 35 61 122 14 3 124 24 214 60 180 0  1233.0km, visited customer:11, now_time:1349, average fill:1330.0, now_load:190/200
vehicle14 tour: 0 39 415 388 366 52 285 249 116 1 355 27 0  879.9km, visited customer:11, now_time:1353, average fill:1430.0, now_load:200/200
vehicle15 tour: 0 4 203 452 12 65 22 17 302 450 50 33 0  1001.8km, visited customer:11, now_time:1354, average fill:1530.0, now_load:200/200
vehicle16 tour: 0 37 25 386 474 69 443 460 134 20 25 125 0  1073.7km, visited customer:11, now_time:1352, average fill:1630.0, now_load:200/200
vehicle17 tour: 0 34 20 271 334 309 399 217 466 45 15 0  1267.8km, visited customer:10, now_time:1351, average fill:1730.0, now_load:200/200
vehicle18 tour: 0 18 170 23 44 331 253 365 65 157 28 0  1280.5km, visited customer:10, now_time:1354, average fill:1830.0, now_load:200/200
vehicle19 tour: 0 30 400 47 82 255 48 280 7 482 52 9 75 0  1099.7km, visited customer:12, now_time:1354, average fill:1925.0, now_load:190/200
vehicle20 tour: 0 39 22 449 414 408 80 480 263 479 488 213 87 130 0  1116.8km, visited customer:13, now_time:1350, average fill:1981.7, now_load:340/600
vehicle21 tour: 0 38 303 59 37 418 300 80 155 205 46 325 209 335 0  1808.4km, visited customer:13, now_time:1343, average fill:2036.7, now_load:330/600
vehicle22 tour: 0 13 297 15 81 351 494 487 118 312 372 114 420 75 0  1406.7km, visited customer:13, now_time:1346, average fill:2105.0, now_load:410/600
